source_category_id,target_category_id,relation,evidence
category:52b69d58ca7f96f8,category:dcb8957038241b81,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4b3c553ddabd298a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:70302df9bb9abf2e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c5b061b3c0120724,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:22267222c9bae0dd,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c84949c7164be3ee,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6caf9d515db5a43f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2f1300e24e2800c9,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:947a7ae92da2416b,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c51885ff2147079a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2eba643c2ce3634e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:1b94e03d927218b6,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:61016650da4225c3,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:874fe60bb778f455,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:cc67222106799ade,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:09223c427e44d765,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:95a117eb2f61b23e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:39a92565b5feebb4,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:80bdd96f168045fb,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:8ea5401b2cc312c4,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:63bd10984674603f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:b1f38b661b3e4b71,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:37f1448bea452a16,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:907ab0e77bf7e7bd,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:c1093ae381054338,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:1aa0290ed2bc3f7f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2f944dcf76e6553a,RELATED_LINK,data\raw\zara\discovery\1066.json
